config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,118.0,0.0,60.0,0.7299515008926392,417.895700000372
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,123.0,0.0072855576135707,60.0,0.6728053092956543,407.8068999997413
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,128.0,0.0155350435624751,60.0,0.4513860046863556,413.1121000000349
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,133.0,0.1429901887902195,75.0,0.6041110157966614,411.0701999998128
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,138.0,0.2217623751554138,60.0,0.1016042083501815,410.2634000000762
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,143.0,0.4669284656649959,60.0,0.7215061187744141,411.30640000028507
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,148.0,0.6515753132838885,75.0,0.9545177221298218,405.2998999995907
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,8.0,0.0094458784206308,75.0,1.2833508253097534,501.755399999638
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,13.0,0.004626719125068,60.0,0.3779007792472839,418.10609999993176
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,18.0,0.0041520496964298,60.0,1.1764880418777466,447.6626999994551
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,23.0,0.0354230934383808,60.0,0.6445885896682739,490.0241000004826
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,28.0,0.0209518270847882,60.0,1.3039932250976562,537.4580999996397
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,33.0,0.0876836245280731,90.0,0.3282436430454254,511.324500000228
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,38.0,0.0777904638067801,75.0,0.3596068024635315,483.51280000042607
6s context + 2s horizon,60,20,6.0,2.0,Baseline_isometrico_baseline.txt,43.0,0.021509968206211,60.0,0.7154173254966736,415.961900000184
